familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
101;1;1;1;1;4;6.510769699999999
101;2;1;1;4;1;6.510769699999999
101;3;4;1;1;1;6.510769699999999
101;4;1;4;1;1;6.510769699999999
102;1;1;1;1;5;7.877473499999999
102;2;1;1;5;1;7.877473499999999
102;3;5;1;1;1;7.877473500000001
102;4;1;5;1;1;7.877473500000001
103;1;1;1;2;3;3.7873437
103;2;1;1;3;2;3.7873437
103;3;3;2;1;1;3.7873436999999996
103;4;2;3;1;1;3.7873436999999996
104;1;1;1;2;4;5.2812531
104;2;1;1;4;2;5.2812531
104;3;4;2;1;1;5.2812531
104;4;2;4;1;1;5.2812531
105;1;1;1;2;5;6.6479569
105;2;1;1;5;2;6.6479569
105;3;5;2;1;1;6.6479569000000005
105;4;2;5;1;1;6.6479569000000005
106;1;1;1;3;4;6.3671456
106;2;1;1;4;3;6.3671456
106;3;4;3;1;1;6.367145600000001
106;4;3;4;1;1;6.367145600000001
107;1;1;1;3;5;7.7338493999999995
107;2;1;1;5;3;7.7338493999999995
107;3;5;3;1;1;7.7338494
107;4;3;5;1;1;7.7338494
108;1;1;1;4;5;9.2277588
108;2;1;1;5;4;9.2277588
108;3;5;4;1;1;9.2277588
108;4;4;5;1;1;9.2277588
109;1;1;2;0;3;2.4972225999999997
109;2;2;1;3;0;2.4972225999999997
109;3;3;0;2;1;2.4972225999999997
109;4;0;3;1;2;2.4972226
110;1;1;2;0;4;3.9911319999999995
110;2;2;1;4;0;3.9911319999999995
110;3;4;0;2;1;3.991132
110;4;0;4;1;2;3.991132
111;1;1;2;0;5;5.357835799999999
111;2;2;1;5;0;5.357835799999999
111;3;5;0;2;1;5.3578358
111;4;0;5;1;2;5.3578358
112;1;1;2;1;3;3.7873437
112;2;2;1;3;1;3.7873436999999996
112;3;3;1;2;1;3.7873437
112;4;1;3;1;2;3.7873437
113;1;1;2;1;4;5.2812531
113;2;2;1;4;1;5.281253099999999
113;3;4;1;2;1;5.2812531
113;4;1;4;1;2;5.2812531
114;1;1;2;1;5;6.6479569
114;2;2;1;5;1;6.647956899999999
114;3;5;1;2;1;6.6479569000000005
114;4;1;5;1;2;6.6479569000000005
115;1;1;2;2;2;1.4719345999999998
115;2;2;1;2;2;1.4719345999999998
115;3;2;2;2;1;1.4719346
115;4;2;2;1;2;1.4719345999999998
116;1;1;2;2;3;2.5578271
116;2;2;1;3;2;2.5578271
116;3;3;2;2;1;2.5578271
116;4;2;3;1;2;2.5578271
117;1;1;2;2;4;4.0517365
117;2;2;1;4;2;4.0517365
117;3;4;2;2;1;4.0517365000000005
117;4;2;4;1;2;4.0517365
118;1;1;2;2;5;5.418440299999999
118;2;2;1;5;2;5.418440299999999
118;3;5;2;2;1;5.4184403
118;4;2;5;1;2;5.4184403
119;1;1;2;3;3;3.6437196
119;2;2;1;3;3;3.6437196
119;3;3;3;2;1;3.6437196000000003
119;4;3;3;1;2;3.6437196000000003
120;1;1;2;3;4;5.137629
120;2;2;1;4;3;5.137629
120;3;4;3;2;1;5.1376290000000004
120;4;3;4;1;2;5.1376290000000004
121;1;1;2;3;5;6.504332799999999
121;2;2;1;5;3;6.504332799999999
121;3;5;3;2;1;6.5043328
121;4;3;5;1;2;6.5043328
122;1;1;2;4;4;6.631538399999999
122;2;2;1;4;4;6.631538399999999
122;3;4;4;2;1;6.6315384
122;4;4;4;1;2;6.6315384
123;1;1;2;4;5;7.998242199999999
123;2;2;1;5;4;7.998242199999999
123;3;5;4;2;1;7.9982422
123;4;4;5;1;2;7.9982422
124;1;1;2;5;5;9.364946
124;2;2;1;5;5;9.364946
124;3;5;5;2;1;9.364946
124;4;5;5;1;2;9.364946
125;1;1;3;0;4;5.0770245
125;2;3;1;4;0;5.0770245
125;3;4;0;3;1;5.0770245
125;4;0;4;1;3;5.0770245
126;1;1;3;0;5;6.4437283
126;2;3;1;5;0;6.4437283
126;3;5;0;3;1;6.4437283
126;4;0;5;1;3;6.4437283
127;1;1;3;1;4;6.3671456
127;2;3;1;4;1;6.367145600000001
127;3;4;1;3;1;6.367145600000001
127;4;1;4;1;3;6.3671456
128;1;1;3;1;5;7.7338493999999995
128;2;3;1;5;1;7.7338494
128;3;5;1;3;1;7.7338494
128;4;1;5;1;3;7.7338494
129;1;1;3;2;3;3.6437196000000003
129;2;3;1;3;2;3.6437196000000003
129;3;3;2;3;1;3.6437196000000003
129;4;2;3;1;3;3.6437196
130;1;1;3;2;4;5.1376290000000004
130;2;3;1;4;2;5.1376290000000004
130;3;4;2;3;1;5.1376290000000004
130;4;2;4;1;3;5.1376290000000004
131;1;1;3;2;5;6.5043328
131;2;3;1;5;2;6.5043328
131;3;5;2;3;1;6.5043328
131;4;2;5;1;3;6.5043328
132;1;1;3;3;3;4.729612100000001
132;2;3;1;3;3;4.729612100000001
132;3;3;3;3;1;4.729612100000001
132;4;3;3;1;3;4.729612100000001
133;1;1;3;3;4;6.2235215
133;2;3;1;4;3;6.2235215
133;3;4;3;3;1;6.2235215
133;4;3;4;1;3;6.2235215
134;1;1;3;3;5;7.5902253
134;2;3;1;5;3;7.5902253
134;3;5;3;3;1;7.5902253
134;4;3;5;1;3;7.5902253
135;1;1;3;4;4;7.7174309
135;2;3;1;4;4;7.7174309
135;3;4;4;3;1;7.7174309
135;4;4;4;1;3;7.7174309
136;1;1;3;4;5;9.0841347
136;2;3;1;5;4;9.0841347
136;3;5;4;3;1;9.0841347
136;4;4;5;1;3;9.0841347
137;1;1;3;5;5;10.4508385
137;2;3;1;5;5;10.4508385
137;3;5;5;3;1;10.4508385
137;4;5;5;1;3;10.4508385
138;1;1;4;0;5;7.9376377
138;2;4;1;5;0;7.9376377
138;3;5;0;4;1;7.9376377
138;4;0;5;1;4;7.9376377
139;1;1;4;1;5;9.2277588
139;2;4;1;5;1;9.2277588
139;3;5;1;4;1;9.2277588
139;4;1;5;1;4;9.2277588
140;1;1;4;2;4;6.6315384
140;2;4;1;4;2;6.6315384
140;3;4;2;4;1;6.6315384
140;4;2;4;1;4;6.6315384
141;1;1;4;2;5;7.9982422
141;2;4;1;5;2;7.9982422
141;3;5;2;4;1;7.9982422
141;4;2;5;1;4;7.9982422
142;1;1;4;3;4;7.7174309
142;2;4;1;4;3;7.7174309
142;3;4;3;4;1;7.7174309
142;4;3;4;1;4;7.7174309
143;1;1;4;3;5;9.0841347
143;2;4;1;5;3;9.0841347
143;3;5;3;4;1;9.0841347
143;4;3;5;1;4;9.0841347
144;1;1;4;4;4;9.2113403
144;2;4;1;4;4;9.2113403
144;3;4;4;4;1;9.2113403
144;4;4;4;1;4;9.2113403
