índice;subs posición 1;subs posición 2;subs posición 3;subs posición 4;Energia
272;4;1;3;5;4.033923285
273;4;1;4;5;7.01174336
274;4;2;0;5;1.257813085
275;4;2;1;5;3.95433746
276;4;2;2;5;2.36489251
277;4;2;3;4;8.37376976
278;4;2;3;5;2.43381711
279;4;2;4;5;2.96082926
280;4;3;0;5;1.954139168
281;4;3;1;5;6.52076226
282;4;3;2;5;5.26110621
283;4;3;3;5;2.254084795
284;4;3;4;5;4.230682185
285;4;4;0;5;3.330997785
286;4;4;1;5;8.55775276
287;4;4;2;5;3.78788681
288;4;4;3;5;2.738361685
289;4;4;4;5;6.756984635
290;4;5;5;5;30.93176099
291;5;0;1;5;10.34107639
292;5;0;2;5;9.016699985
293;5;0;3;5;16.29839196
294;5;0;4;5;16.66890561
295;5;1;2;5;17.15382506
296;5;1;3;5;21.76753136
297;5;1;4;5;25.00316609
298;5;2;3;5;19.78256061
299;5;2;4;5;18.34301913
300;5;3;4;5;17.69659374
301;0;0;1;1;4.487520445
302;0;0;2;2;2.615703005
303;0;0;3;3;2.385475138
304;0;0;4;4;5.655666288
305;0;0;5;5;10.83541461
306;1;1;2;2;6.597560102
307;1;1;3;3;8.91689611
308;1;1;4;4;12.75121541
309;1;1;5;5;14.58651548
310;2;2;3;3;6.17261522
311;2;2;4;4;7.31626911
312;2;2;5;5;-2.22461739
313;3;3;4;4;6.355682697
314;3;3;5;5;6.84197951
315;4;4;5;5;7.773936235
316;1;0;0;1;2.316772045
317;2;0;0;2;-1.921081835
318;2;1;1;2;4.886867093
319;3;0;0;3;1.862778305
320;3;1;1;3;3.413114945
321;3;2;2;3;-0.673141838
322;4;0;0;4;4.471298943
323;4;1;1;4;7.014843837
324;4;2;2;4;4.91325786
325;4;3;3;4;7.019133427
326;5;0;0;5;7.286293435
327;5;1;1;5;15.04741423
328;5;2;2;5;7.50023956
329;5;3;3;5;16.76369576
330;5;4;4;5;13.78893161
331;0;1;0;1;3.248812855
332;0;2;0;2;0.487890665
333;0;3;0;3;2.340182815
334;0;4;0;4;5.508951767
335;0;5;0;5;12.12030871
336;1;2;1;2;5.568168315
337;1;3;1;3;6.71255638
338;1;4;1;4;13.12818917
339;1;5;1;5;16.58608189
340;2;3;2;3;3.192383035
341;2;4;2;4;5.39544141
342;2;5;2;5;9.102429035
343;3;4;3;4;5.962983785
344;3;5;3;5;6.258875135
345;4;5;4;5;6.10825631
346;1;1;1;1;9.626816353
347;2;2;2;2;0.62138376
348;3;3;3;3;4.204760788
349;4;4;4;4;13.04496761
350;5;5;5;5;19.89919403
