familia;indice_fam;subposicion_1;subposicion_2;subposicion_3;subposicion_4;energia
69;1;0;4;2;4;5.876336
69;2;4;0;4;2;5.876336
69;3;4;2;4;0;5.876336
69;4;2;4;0;4;5.876336
70;1;0;4;2;5;5.9435814
70;2;4;0;5;2;5.9435814
70;3;5;2;4;0;5.9435814
70;4;2;5;0;4;5.9435814
71;1;0;4;3;4;5.0625539
71;2;4;0;4;3;5.0625539
71;3;4;3;4;0;5.0625539
71;4;3;4;0;4;5.0625539
72;1;0;4;3;5;5.2646559
72;2;4;0;5;3;5.2646559
72;3;5;3;4;0;5.2646559
72;4;3;5;0;4;5.2646559
73;1;0;4;4;4;6.5380316
73;2;4;0;4;4;6.5380316
73;3;4;4;4;0;6.5380316
73;4;4;4;0;4;6.5380316
74;1;0;4;4;5;7.3280347
74;2;4;0;5;4;7.3280347
74;3;5;4;4;0;7.3280347
74;4;4;5;0;4;7.3280347
75;1;0;4;5;5;7.3519675
75;2;4;0;5;5;7.3519675
75;3;5;5;4;0;7.3519675
75;4;5;5;0;4;7.3519675
76;1;0;5;1;5;10.9345031
76;2;5;0;5;1;10.9345031
76;3;5;1;5;0;10.9345031
76;4;1;5;0;5;10.9345031
77;1;0;5;2;5;6.6190099
77;2;5;0;5;2;6.6190099
77;3;5;2;5;0;6.6190099
77;4;2;5;0;5;6.6190099
78;1;0;5;3;5;8.3327061
78;2;5;0;5;3;8.3327061
78;3;5;3;5;0;8.3327061
78;4;3;5;0;5;8.3327061
79;1;0;5;4;5;8.7889425
79;2;5;0;5;4;8.7889425
79;3;5;4;5;0;8.7889425
79;4;4;5;0;5;8.7889425
80;1;0;5;5;5;20.6896683
80;2;5;0;5;5;20.6896683
80;3;5;5;5;0;20.6896683
80;4;5;5;0;5;20.6896683
81;1;1;0;0;2;0.6012315
81;2;0;1;2;0;0.6012315
81;3;2;0;0;1;0.6012315
81;4;0;2;1;0;0.6012315
82;1;1;0;0;3;3.3244058
82;2;0;1;3;0;3.3244058
82;3;3;0;0;1;3.3244058
82;4;0;3;1;0;3.3244058
83;1;1;0;0;4;5.4363958
83;2;0;1;4;0;5.4363958
83;3;4;0;0;1;5.4363958
83;4;0;4;1;0;5.4363958
84;1;1;0;0;5;3.8976202
84;2;0;1;5;0;3.8976202
84;3;5;0;0;1;3.8976202
84;4;0;5;1;0;3.8976202
85;1;1;0;1;2;4.2071226
85;2;0;1;2;1;4.2071226
85;3;2;1;0;1;4.2071226
85;4;1;2;1;0;4.2071226
86;1;1;0;1;3;4.9026185
86;2;0;1;3;1;4.9026185
86;3;3;1;0;1;4.9026185
86;4;1;3;1;0;4.9026185
87;1;1;0;1;4;8.07892
87;2;0;1;4;1;8.07892
87;3;4;1;0;1;8.07892
87;4;1;4;1;0;8.07892
88;1;1;0;1;5;7.5966718
88;2;0;1;5;1;7.5966718
88;3;5;1;0;1;7.5966718
88;4;1;5;1;0;7.5966718
89;1;1;0;2;3;3.3986052
89;2;0;1;3;2;3.3986052
89;3;3;2;0;1;3.3986052
89;4;2;3;1;0;3.3986052
90;1;1;0;2;4;8.0318977
90;2;0;1;4;2;8.0318977
90;3;4;2;0;1;8.0318977
90;4;2;4;1;0;8.0318977
91;1;1;0;2;5;5.786734
91;2;0;1;5;2;5.786734
91;3;5;2;0;1;5.786734
91;4;2;5;1;0;5.786734
92;1;1;0;3;4;6.6532475
92;2;0;1;4;3;6.6532475
92;3;4;3;0;1;6.6532475
92;4;3;4;1;0;6.6532475
93;1;1;0;3;5;4.3449323
93;2;0;1;5;3;4.3449323
93;3;5;3;0;1;4.3449323
93;4;3;5;1;0;4.3449323
94;1;1;0;4;5;6.6401046
94;2;0;1;5;4;6.6401046
94;3;5;4;0;1;6.6401046
94;4;4;5;1;0;6.6401046
95;1;1;1;0;2;4.3734754
95;2;1;1;2;0;4.3734754
95;3;2;0;1;1;4.3734754
95;4;0;2;1;1;4.3734754
96;1;1;1;0;3;6.630335
96;2;1;1;3;0;6.630335
96;3;3;0;1;1;6.630335
96;4;0;3;1;1;6.630335
97;1;1;1;0;4;9.1780879
97;2;1;1;4;0;9.1780879
97;3;4;0;1;1;9.1780879
97;4;0;4;1;1;9.1780879
98;1;1;1;0;5;7.7170954
98;2;1;1;5;0;7.7170954
98;3;5;0;1;1;7.7170954
98;4;0;5;1;1;7.7170954
99;1;1;1;1;2;7.986141
99;2;1;1;2;1;7.986141
99;3;2;1;1;1;7.986141
99;4;1;2;1;1;7.986141
100;1;1;1;1;3;7.8062537
100;2;1;1;3;1;7.8062537
100;3;3;1;1;1;7.8062537
100;4;1;3;1;1;7.8062537
101;1;1;1;1;4;11.0184174
101;2;1;1;4;1;11.0184174
101;3;4;1;1;1;11.0184174
101;4;1;4;1;1;11.0184174
102;1;1;1;1;5;10.6608434
102;2;1;1;5;1;10.6608434
102;3;5;1;1;1;10.6608434
102;4;1;5;1;1;10.6608434
103;1;1;1;2;3;6.0423575
103;2;1;1;3;2;6.0423575
103;3;3;2;1;1;6.0423575
103;4;2;3;1;1;6.0423575
104;1;1;1;2;4;10.8608829
104;2;1;1;4;2;10.8608829
104;3;4;2;1;1;10.8608829
104;4;2;4;1;1;10.8608829
105;1;1;1;2;5;8.68164
105;2;1;1;5;2;8.68164
105;3;5;2;1;1;8.68164
105;4;2;5;1;1;8.68164
106;1;1;1;3;4;10.7200123
106;2;1;1;4;3;10.7200123
106;3;4;3;1;1;10.7200123
106;4;3;4;1;1;10.7200123
107;1;1;1;3;5;9.0036988
107;2;1;1;5;3;9.0036988
107;3;5;3;1;1;9.0036988
107;4;3;5;1;1;9.0036988
108;1;1;1;4;5;10.6229744
108;2;1;1;5;4;10.6229744
108;3;5;4;1;1;10.6229744
108;4;4;5;1;1;10.6229744
109;1;1;2;0;3;5.0706329
109;2;2;1;3;0;5.0706329
109;3;3;0;2;1;5.0706329
109;4;0;3;1;2;5.0706329
110;1;1;2;0;4;7.3359694
110;2;2;1;4;0;7.3359694
110;3;4;0;2;1;7.3359694
110;4;0;4;1;2;7.3359694
111;1;1;2;0;5;5.4326709
111;2;2;1;5;0;5.4326709
111;3;5;0;2;1;5.4326709
111;4;0;5;1;2;5.4326709
112;1;1;2;1;3;5.8102653
112;2;2;1;3;1;5.8102653
112;3;3;1;2;1;5.8102653
112;4;1;3;1;2;5.8102653
113;1;1;2;1;4;9.1190257
113;2;2;1;4;1;9.1190257
113;3;4;1;2;1;9.1190257
113;4;1;4;1;2;9.1190257
114;1;1;2;1;5;8.0749668
114;2;2;1;5;1;8.0749668
114;3;5;1;2;1;8.0749668
